PROLIFIC_ID,LSAS_avoidance,LSAS_fear,LSAS_total,RR,AQ,BRCS,ERQ_emosuppression,ERQ_cogreappraisal,NTBS,PSS,RSQ,SCS,SRQ_admiration,SRQ_negsocpot,SRQ_prosocint,SRQ_sexrel,SRQ_sociability
5d55d562e04e1c0001f5e682,92.0,93.0,185.0,22.0,43.0,18,5.25,1.6666666666666667,33,30,16.375,40,5.0,1.0,6.2,5.333333333333333,3.3333333333333335
63d5bb0d1cc3800ad1e343dc,13.0,13.0,26.0,22.0,23.0,17,4.75,3.5,35,18,12.875,69,5.75,3.4,5.8,5.666666666666667,6.0
60dbf4d94a3b5564b68881e8,40.0,38.0,78.0,26.0,19.0,15,2.0,6.833333333333333,36,23,11.75,77,6.75,1.0,7.0,6.666666666666667,6.333333333333333
630386f64c5bbd56ab1c3b0f,75.0,74.0,149.0,24.0,18.0,15,2.25,4.166666666666667,29,24,13.125,64,5.25,2.0,7.0,4.0,3.6666666666666665
63e52399159a69bf0ea848c6,18.0,19.0,37.0,18.0,14.0,17,2.5,5.5,34,13,5.875,63,5.5,1.6,6.2,2.6666666666666665,5.0
5dcb685070d51c8275d7bd54,61.0,76.0,137.0,22.0,42.0,14,3.5,4.333333333333333,30,25,4.75,55,5.5,2.8,6.0,3.6666666666666665,5.333333333333333
631f3abc8826b6e7e8982648,66.0,63.0,129.0,22.0,13.0,15,5.0,4.0,28,17,12.125,81,2.25,1.0,7.0,6.0,2.3333333333333335
60ef2700e476748689a999f7,41.0,36.0,77.0,26.0,30.0,8,3.5,1.3333333333333333,40,30,8.875,49,7.0,3.0,5.8,5.333333333333333,5.0
63235c5bf70d8e4f79b205cd,68.0,65.0,133.0,25.0,33.0,12,4.5,3.0,37,40,13.75,20,6.0,3.0,5.6,2.0,5.666666666666667
63e51e528df11f83a1aacab8,23.0,17.0,40.0,21.0,16.0,17,1.25,6.166666666666667,27,9,6.625,117,3.5,1.0,7.0,7.0,4.666666666666667
5f32bc368853aa03df112fc6,41.0,25.0,66.0,27.0,18.0,16,3.5,7.0,35,10,3.25,120,6.0,2.0,6.0,3.6666666666666665,6.0
6154a88b71a7f4347658b0f7,26.0,28.0,54.0,28.0,18.0,14,4.75,5.166666666666667,33,15,11.25,89,5.0,2.2,6.2,4.0,4.0
60fd5a99c4e4ead0c9a6fff4,45.0,44.0,89.0,24.0,17.0,15,2.75,5.5,35,22,7.0,69,5.75,1.4,6.6,4.0,3.0
6056bcf1cee7a41435889255,65.0,63.0,128.0,30.0,13.0,12,3.25,2.833333333333333,26,27,10.25,75,4.5,1.6,5.8,4.0,4.333333333333333
63d40481d12fc9cc4c1adab0,33.0,24.0,57.0,23.0,26.0,15,6.25,5.166666666666667,34,18,12.125,47,3.25,1.2,5.8,4.333333333333333,2.3333333333333335
60ff33eea57872b7188f12e2,34.0,24.0,58.0,23.0,16.0,18,3.0,5.5,36,9,10.0,109,6.25,2.2,6.8,4.666666666666667,6.0
62a885d5b6af18b3d4579e1b,31.0,51.0,82.0,22.0,30.0,14,4.75,3.6666666666666665,30,19,11.125,75,4.0,4.0,5.0,4.0,5.0
63ced670c8d001d1d5057140,17.0,19.0,36.0,29.0,21.0,17,2.25,4.833333333333333,38,21,6.375,55,7.0,1.0,7.0,1.6666666666666667,5.666666666666667
63eac31811a6da58d4f32d76,55.0,27.0,82.0,28.0,26.0,17,3.75,5.5,24,17,10.125,88,6.0,1.0,6.8,6.333333333333333,6.0
60fd80b85dd6b22f66d16822,79.0,89.0,168.0,24.0,10.0,15,4.5,2.6666666666666665,33,27,7.5,110,4.25,1.0,7.0,5.0,4.666666666666667
63d13e2a6dd3ec4a5f6bff7b,50.0,37.0,87.0,24.0,18.0,16,2.75,4.166666666666667,33,25,12.25,98,5.5,1.4,6.6,4.0,5.666666666666667
6112dccad39227e361c13866,40.0,49.0,89.0,30.0,10.0,18,2.75,4.5,42,29,5.375,72,6.5,1.4,7.0,3.0,6.333333333333333
62fb84322433c8d7e890a145,24.0,24.0,48.0,28.0,26.0,17,6.25,3.0,39,18,15.25,68,6.0,1.2,7.0,3.0,3.6666666666666665
608209b96e955ba5201eff25,44.0,63.0,107.0,25.0,21.0,16,4.5,2.1666666666666665,36,24,9.75,69,6.0,2.0,6.2,5.666666666666667,6.0
63d7c5cbacd85e95302f3a62,19.0,20.0,39.0,24.0,34.0,15,5.0,2.1666666666666665,30,28,8.375,48,3.25,4.0,6.8,7.0,3.3333333333333335
5b6c312fa1fda800015fe165,51.0,52.0,103.0,22.0,27.0,16,5.75,3.8333333333333335,28,22,9.875,62,3.75,2.0,6.4,6.0,5.0
605b5b5feff0e95f2cd60834,53.0,51.0,104.0,27.0,21.0,15,1.25,1.6666666666666667,27,23,8.125,98,5.5,3.8,5.6,4.0,4.0
60fdb9ec6c3006abe82e5182,88.0,26.0,114.0,28.0,38.0,13,4.75,3.6666666666666665,37,27,11.625,56,5.5,1.0,6.6,5.666666666666667,2.3333333333333335
63ddc6baab6a2130b8a41bf7,77.0,54.0,131.0,23.0,24.0,16,3.5,7.0,30,3,3.0,68,5.75,2.0,7.0,5.0,6.333333333333333
60fd56db5fe37ebeca00bc83,82.0,68.0,150.0,25.0,17.0,16,5.0,5.0,28,20,10.0,94,5.5,2.2,5.6,6.666666666666667,5.333333333333333
63d3f98237a95683bfa381e3,57.0,54.0,111.0,24.0,14.0,15,1.0,2.1666666666666665,34,0,3.0,120,5.25,2.4,6.2,5.333333333333333,4.666666666666667
63fac97f0d4e8f6bfd753d90,47.0,41.0,88.0,,26.0,11,4.0,3.5,33,28,16.0,50,5.0,1.8,5.8,6.666666666666667,4.0
628f827eeb876ed2617881e7,38.0,19.0,57.0,,32.0,8,4.25,3.5,30,2,10.875,67,4.5,2.0,5.6,2.6666666666666665,2.6666666666666665
63d3f9d0ab6c170778b0d3d1,,,,,20.0,15,3.5,3.1666666666666665,39,25,7.5,76,7.0,1.6,6.8,4.0,6.0
